,Id,Price_main,Price_for_m2,Address,district,area,rooms,floor,build_year
0,3293221796.0,530000,6235.0,"вулиця Андрія Верхогляда, 15-А",Печерський,85.0,2,13,2020.0
1,3342707084.0,650000,6915.0,"вулиця Іоанна Павла II, 12",Печерський,94.0,2,8,2020.0
3,3992316251.0,171970,1177.0,"вулиця Гетьмана Кирила Розумовського, 17",Святошинський,146.1,3,3,2002.0
4,3945102915.0,620000,7294.0,"вулиця Івана Федорова, 2-А",Печерський,85.0,3,9,2019.0
5,3700672035.0,1850000,9463.0,"Лютеранська вулиця, 14в",Печерський,195.5,3,11,2023.0
6,3879802526.0,450000,2903.0,"Університетська вулиця, 17-А",Солом’янський,155.0,3,5,2021.0
7,4128974555.0,205000,2562.0,"Берестейський проспект, 5-В",Шевченківський,80.0,2,15,2018.0
9,2268377559.0,920000,7077.0,"вулиця Євгена Коновальця, 26-А",Печерський,130.0,3,12,2015.0
10,2746341744.0,265000,3193.0,"вулиця Андрія Верхогляда, 19-Б",Печерський,83.0,3,8,2020.0
11,4169167969.0,615000,3892.0,"вулиця Джона Маккейна, 3-А",Печерський,158.0,4,24,2019.0
12,3026351779.0,1580000,9576.0,"вулиця Мечникова, 11-А",Печерський,165.0,3,3,2022.0
13,3484441224.0,995000,7654.0,"вулиця Івана Федорова, 1/2",Печерський,130.0,4,19,2016.0
15,3860265562.0,800000,7273.0,"вулиця Івана Федорова, 2-А",Печерський,110.0,3,18,2019.0
16,3975147339.0,490000,5041.0,"Паньківська вулиця, 20/82",Голосіївський,97.2,2,24,2020.0
17,2775460757.0,999000,3842.0,"Володимирська вулиця, 86-А",Голосіївський,260.0,5,17,2024.0
19,3920063910.0,77000,1645.0,"вулиця Олександра Архипенка, 4-А",Оболонський,46.8,2,1,1975.0
21,4242450061.0,89000,2967.0,"вулиця Михайла Максимовича, 24-В",Голосіївський,30.0,1,9,2023.0
22,4216084298.0,599000,3220.0,"Інститутська вулиця, 18-А",Печерський,186.0,4,2,2010.0
23,3215452972.0,590000,3933.0,"вулиця Саперне Поле, 3",Печерський,150.0,3,14,2017.0
24,3219913739.0,500000,3333.0,"вулиця Андрія Верхогляда, 5",Печерський,150.0,3,11,2010.0
25,2198054053.0,1249000,6005.0,"вулиця Михайла Грушевського, 9-А",Печерський,208.0,3,10,2007.0
26,3172291361.0,381000,4233.0,"вулиця Андрія Верхогляда, 3",Печерський,90.0,2,11,2010.0
27,2268361119.0,750000,4934.0,"вулиця Раїси Окіпної, 18",Дніпровський,152.0,3,3,2012.0
28,4160343691.0,69999,1252.0,"вулиця Героїв Космосу, 15",Святошинський,55.9,2,12,1990.0
30,4044321726.0,185000,2467.0,"вулиця Родини Крістерів, 14",Подільський,75.0,2,5,2024.0
31,3924113694.0,285000,2879.0,"Салютна вулиця, 2к1",Шевченківський,99.0,2,12,2020.0
33,4215018525.0,99000,2750.0,"Причальна вулиця, 12",Дарницький,36.0,1,10,2021.0
34,3916186513.0,175000,2365.0,вулиця Михайла Максимовича,Голосіївський,74.0,3,21,2021.0
36,4137446885.0,250000,4545.0,"Ділова вулиця, 1/2",Печерський,55.0,1,17,2016.0
38,4169787119.0,61900,1876.0,"вулиця Кадетський Гай, 10",Солом’янський,33.0,1,19,2021.0
39,1879573120.0,449000,2916.0,"Рильський провулок, 3",Шевченківський,154.0,3,4,1861.0
40,4243197018.0,43000,1955.0,"Братиславська вулиця, 18-Б",Деснянський,22.0,1,1,1968.0
43,3791426409.0,115000,2614.0,"вулиця Академіка Заболотного, 148-В",Голосіївський,44.0,1,10,2021.0
44,4024151084.0,73900,725.0,"вулиця Архітектора Вербицького, 22/1",Дарницький,102.0,3,9,1984.0
45,2518772190.0,122000,2837.0,"проспект Повітряних Сил, 56-Г",Солом’янський,43.0,1,6,2025.0
46,4192469957.0,299000,3147.0,"вулиця Михайла Бойчука, 19-А",Печерський,95.0,3,4,2021.0
47,4008533590.0,325000,3250.0,"Микільсько-Слобідська вулиця, 15",Дніпровський,100.0,3,23,2021.0
48,4152589699.0,269000,2069.0,"вулиця Олени Теліги, 25",Шевченківський,130.0,4,24,2021.0
49,3950090132.0,78000,1902.0,"вулиця Олександра Кошиця, 9",Дарницький,41.0,2,11,1993.0
50,4251529706.0,53000,1082.0,"Микільсько-Слобідська вулиця, 4",Дніпровський,49.0,2,4,1977.0
51,4248633545.0,77000,1537.0,"Межигірська вулиця, 32",Подільський,50.1,2,1,1899.0
52,4192384433.0,260000,1865.0,"вулиця Євгена Коновальця, 44-А",Печерський,139.4,3,19,2011.0
53,3963637498.0,135000,1929.0,"вулиця Михайла Донця, 2-Б",Солом’янський,70.0,2,22,2016.0
54,4235812972.0,117500,2733.0,"вулиця Олександра Олеся, Будинок 10.4",Подільський,43.0,1,8,2025.0
55,4001906936.0,50000,1562.0,"вулиця Героїв полку «Азов», 28-Б",Оболонський,32.0,1,1,1978.0
58,4248487379.0,99000,990.0,"вулиця Григоровича-Барського, 7",Святошинський,100.0,5,1,1982.0
59,4152787997.0,138000,2300.0,"вулиця Михайла Максимовича, 24-В",Голосіївський,60.0,2,15,2023.0
60,3719324850.0,130000,1444.0,"вулиця Олександри Екстер, 11",Деснянський,90.0,2,8,2010.0
61,3999663775.0,305000,5648.0,"вулиця Василя Тютюнника, 43",Печерський,54.0,1,13,2024.0
63,4249226688.0,45500,1034.0,"проспект Науки, 58/2",Голосіївський,44.0,2,4,1959.0
64,4242893069.0,92000,1211.0,"вулиця Івана Виговського, 10-Ж",Подільський,76.0,2,5,2020.0
65,3342744316.0,320000,3902.0,"вулиця Андрія Верхогляда, 14",Печерський,82.0,2,8,2010.0
66,4229679865.0,55500,1297.0,"вулиця Костянтина Данькевича, 8",Деснянський,42.8,1,13,2010.0
67,4195459190.0,87000,1510.0,"вулиця Михайла Максимовича, 7",Голосіївський,57.6,1,5,2013.0
69,4218097662.0,127500,2833.0,"вулиця Родини Крістерів, 14-Б",Подільський,45.0,1,20,2024.0
